"leg_id","timestamp_utc","from_key","to_key","from_name","to_name","transport","route_source","route_confidence"
"743","2024-10-14 22:06:00","1728943500000","1728943560000","Papayal","Hatonuevo","car","arcgis","existing"
"745","2024-10-13 22:00:00","1728684000000","1728856800000","Manaure","Manaure ","car","arcgis","existing"
"746","2024-10-14 22:01:00","1728943200000","1728943260000","Urumita","El Molino","car","arcgis","existing"
"747","2024-10-14 22:03:00","1728943260000","1728943380000","El Molino","Barrancas","truck","arcgis","existing"
"748","2024-10-24 22:00:00","1729634700000","1729807200000","Mucuchies","Mucuchies","foot","arcgis","existing"
"749","2024-10-17 22:00:00","1729116060000","1729202400000","Police station - Venezuela","Police station","bus","arcgis","existing"
"750","2024-10-19 22:00:00","1729288860000","1729375200000","Agua Viva","Small town in Paramo","car","arcgis","existing"
"751","2024-10-19 22:04:00","1729375320000","1729375440000","Timotes","Timotes","foot","arcgis","existing"
"752","2024-10-22 22:05:00","1729634580000","1729634700000","Muchuchies","Mucuchies","foot","arcgis","existing"
"753","2024-10-17 22:01:00","1729202400000","1729202460000","Police station","Maracaibo","car","arcgis","existing"
"754","2024-10-22 22:00:00","1729461600000","1729634400000","Timotes - Leidas house","Timotes","foot","arcgis","existing"
